Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
32,Napo,0,2020/03/30 00:00:00,10:00
32,Orellana,0,2020/03/30 00:00:00,10:00
32,Pastaza,0,2020/03/30 00:00:00,10:00
32,Sucumbíos,1,2020/03/30 00:00:00,10:00
32,Zamora Chinchipe,0,2020/03/30 00:00:00,10:00
32,Galápagos,0,2020/03/30 00:00:00,10:00
33,Azuay,1,2020/03/30 00:00:00,17:00
33,Bolívar,0,2020/03/30 00:00:00,17:00
33,Cañar,1,2020/03/30 00:00:00,17:00
33,Carchi,0,2020/03/30 00:00:00,17:00
33,Chimborazo,0,2020/03/30 00:00:00,17:00
33,Cotopaxi,1,2020/03/30 00:00:00,17:00
33,Imbabura,1,2020/03/30 00:00:00,17:00
33,Loja,0,2020/03/30 00:00:00,17:00
33,Pichincha,5,2020/03/30 00:00:00,17:00
33,Santo Domingo de los Tsáchilas,0,2020/03/30 00:00:00,17:00
33,Tungurahua,0,2020/03/30 00:00:00,17:00
33,El Oro,4,2020/03/30 00:00:00,17:00
33,Esmeraldas,0,2020/03/30 00:00:00,17:00
33,Guayas,40,2020/03/30 00:00:00,17:00
33,Los Ríos,5,2020/03/30 00:00:00,17:00
33,Manabí,1,2020/03/30 00:00:00,17:00
33,Santa Elena,2,2020/03/30 00:00:00,17:00
33,Morona Santiago,0,2020/03/30 00:00:00,17:00
33,Napo,0,2020/03/30 00:00:00,17:00
33,Orellana,0,2020/03/30 00:00:00,17:00
33,Pastaza,0,2020/03/30 00:00:00,17:00
33,Sucumbíos,1,2020/03/30 00:00:00,17:00
33,Zamora Chinchipe,0,2020/03/30 00:00:00,17:00
33,Galápagos,0,2020/03/30 00:00:00,17:00
34,Azuay,1,2020/03/31 00:00:00,10:00
34,Bolívar,0,2020/03/31 00:00:00,10:00
34,Cañar,2,2020/03/31 00:00:00,10:00
34,Carchi,0,2020/03/31 00:00:00,10:00
34,Chimborazo,0,2020/03/31 00:00:00,10:00
34,Cotopaxi,1,2020/03/31 00:00:00,10:00
34,Imbabura,1,2020/03/31 00:00:00,10:00
34,Loja,0,2020/03/31 00:00:00,10:00
34,Pichincha,5,2020/03/31 00:00:00,10:00
34,Santo Domingo de los Tsáchilas,0,2020/03/31 00:00:00,10:00
34,Tungurahua,0,2020/03/31 00:00:00,10:00
34,El Oro,4,2020/03/31 00:00:00,10:00
34,Esmeraldas,0,2020/03/31 00:00:00,10:00
34,Guayas,51,2020/03/31 00:00:00,10:00
34,Los Ríos,5,2020/03/31 00:00:00,10:00
34,Manabí,1,2020/03/31 00:00:00,10:00
34,Santa Elena,3,2020/03/31 00:00:00,10:00
34,Morona Santiago,0,2020/03/31 00:00:00,10:00
34,Napo,0,2020/03/31 00:00:00,10:00
34,Orellana,0,2020/03/31 00:00:00,10:00
34,Pastaza,0,2020/03/31 00:00:00,10:00
34,Sucumbíos,1,2020/03/31 00:00:00,10:00
34,Zamora Chinchipe,0,2020/03/31 00:00:00,10:00
34,Galápagos,0,2020/03/31 00:00:00,10:00
35,Azuay,2,2020/03/31 00:00:00,17:00
35,Bolívar,0,2020/03/31 00:00:00,17:00
35,Cañar,2,2020/03/31 00:00:00,17:00
35,Carchi,0,2020/03/31 00:00:00,17:00
35,Chimborazo,0,2020/03/31 00:00:00,17:00
35,Cotopaxi,1,2020/03/31 00:00:00,17:00
35,Imbabura,1,2020/03/31 00:00:00,17:00
35,Loja,0,2020/03/31 00:00:00,17:00
35,Pichincha,5,2020/03/31 00:00:00,17:00
35,Santo Domingo de los Tsáchilas,0,2020/03/31 00:00:00,17:00
35,Tungurahua,0,2020/03/31 00:00:00,17:00
35,El Oro,4,2020/03/31 00:00:00,17:00
35,Esmeraldas,0,2020/03/31 00:00:00,17:00
35,Guayas,52,2020/03/31 00:00:00,17:00
35,Los Ríos,6,2020/03/31 00:00:00,17:00
35,Manabí,1,2020/03/31 00:00:00,17:00
35,Santa Elena,4,2020/03/31 00:00:00,17:00
35,Morona Santiago,0,2020/03/31 00:00:00,17:00
35,Napo,0,2020/03/31 00:00:00,17:00
35,Orellana,0,2020/03/31 00:00:00,17:00
35,Pastaza,0,2020/03/31 00:00:00,17:00
35,Sucumbíos,1,2020/03/31 00:00:00,17:00
35,Zamora Chinchipe,0,2020/03/31 00:00:00,17:00
35,Galápagos,0,2020/03/31 00:00:00,17:00
36,Azuay,3,2020/04/01 00:00:00,17:00
36,Bolívar,0,2020/04/01 00:00:00,17:00
36,Cañar,2,2020/04/01 00:00:00,17:00
36,Carchi,0,2020/04/01 00:00:00,17:00
36,Chimborazo,0,2020/04/01 00:00:00,17:00
36,Cotopaxi,1,2020/04/01 00:00:00,17:00
36,Imbabura,1,2020/04/01 00:00:00,17:00
36,Loja,0,2020/04/01 00:00:00,17:00
36,Pichincha,5,2020/04/01 00:00:00,17:00
36,Santo Domingo de los Tsáchilas,0,2020/04/01 00:00:00,17:00
36,Tungurahua,1,2020/04/01 00:00:00,17:00
36,El Oro,7,2020/04/01 00:00:00,17:00
36,Esmeraldas,0,2020/04/01 00:00:00,17:00
36,Guayas,60,2020/04/01 00:00:00,17:00
36,Los Ríos,6,2020/04/01 00:00:00,17:00
36,Manabí,2,2020/04/01 00:00:00,17:00
36,Santa Elena,4,2020/04/01 00:00:00,17:00
36,Morona Santiago,0,2020/04/01 00:00:00,17:00
36,Napo,0,2020/04/01 00:00:00,17:00
36,Orellana,0,2020/04/01 00:00:00,17:00
36,Pastaza,0,2020/04/01 00:00:00,17:00
36,Sucumbíos,1,2020/04/01 00:00:00,17:00
36,Zamora Chinchipe,0,2020/04/01 00:00:00,17:00
36,Galápagos,0,2020/04/01 00:00:00,17:00
37,Azuay,3,2020/04/01 00:00:00,10:00
37,Bolívar,0,2020/04/01 00:00:00,10:00
37,Cañar,2,2020/04/01 00:00:00,10:00
37,Carchi,0,2020/04/01 00:00:00,10:00
37,Chimborazo,0,2020/04/01 00:00:00,10:00
37,Cotopaxi,1,2020/04/01 00:00:00,10:00
37,Imbabura,1,2020/04/01 00:00:00,10:00
37,Loja,0,2020/04/01 00:00:00,10:00
37,Pichincha,5,2020/04/01 00:00:00,10:00
37,Santo Domingo de los Tsáchilas,0,2020/04/01 00:00:00,10:00
37,Tungurahua,1,2020/04/01 00:00:00,10:00
37,El Oro,9,2020/04/01 00:00:00,10:00
37,Esmeraldas,0,2020/04/01 00:00:00,10:00
37,Guayas,63,2020/04/01 00:00:00,10:00
37,Los Ríos,6,2020/04/01 00:00:00,10:00
37,Manabí,2,2020/04/01 00:00:00,10:00
37,Santa Elena,4,2020/04/01 00:00:00,10:00
37,Morona Santiago,0,2020/04/01 00:00:00,10:00
37,Napo,0,2020/04/01 00:00:00,10:00
37,Orellana,0,2020/04/01 00:00:00,10:00
37,Pastaza,0,2020/04/01 00:00:00,10:00
37,Sucumbíos,1,2020/04/01 00:00:00,10:00
37,Zamora Chinchipe,0,2020/04/01 00:00:00,10:00
37,Galápagos,0,2020/04/01 00:00:00,10:00
38,Azuay,4,2020/04/02 00:00:00,10:00
38,Bolívar,1,2020/04/02 00:00:00,10:00
38,Cañar,2,2020/04/02 00:00:00,10:00
38,Carchi,0,2020/04/02 00:00:00,10:00
38,Chimborazo,0,2020/04/02 00:00:00,10:00
38,Cotopaxi,1,2020/04/02 00:00:00,10:00
38,Imbabura,1,2020/04/02 00:00:00,10:00
38,Loja,0,2020/04/02 00:00:00,10:00
38,Pichincha,5,2020/04/02 00:00:00,10:00
38,Santo Domingo de los Tsáchilas,0,2020/04/02 00:00:00,10:00
38,Tungurahua,1,2020/04/02 00:00:00,10:00
38,El Oro,10,2020/04/02 00:00:00,10:00
38,Esmeraldas,0,2020/04/02 00:00:00,10:00
38,Guayas,82,2020/04/02 00:00:00,10:00
38,Los Ríos,6,2020/04/02 00:00:00,10:00
38,Manabí,2,2020/04/02 00:00:00,10:00
38,Santa Elena,4,2020/04/02 00:00:00,10:00
38,Morona Santiago,0,2020/04/02 00:00:00,10:00
38,Napo,0,2020/04/02 00:00:00,10:00
38,Orellana,0,2020/04/02 00:00:00,10:00
